Speed_20,Dir_20,Hum,SR,Press,TempK,PTheo
1.839,318.49,82.03,0.0,784.5,301.342,281.82674999999995
2.1191,322.81,82.825,0.0,784.31,300.931,374.2154008333333
1.9554,327.33,80.879,0.0,784.62,301.545,318.63243
2.0565,322.37,81.052,0.0,784.79,301.308,352.43268750000004
1.4402,317.32,81.052,0.0,784.71,301.62,172.8480033333333
1.4392,309.06,80.241,0.0,784.65,301.49,172.60805333333337
1.3143,321.72,82.064,0.0,784.81,301.064,143.9487075
1.2472,322.04,81.747,0.0,784.7,300.998,129.62565333333333
1.327,328.24,82.152,0.0,784.67,300.849,146.74408333333332
1.539,325.21,81.971,0.0,784.75,300.47,197.37674999999996
1.7732,323.18,83.51,0.0,784.74,300.746,262.0198533333334
1.8783,315.21,84.36,0.0,784.49,300.541,294.0009075
1.6473,318.08,86.047,0.0,784.49,300.71,226.1331075
1.7715,315.39,85.985,0.0,784.28,300.423,261.51768749999997
2.1001,316.11,84.038,0.0,784.3,300.378,367.5350008333333
2.0536,317.98,83.625,0.0,784.23,300.469,351.4394133333333
1.8059,298.94,83.872,0.0,784.35,300.739,271.7729008333333
1.9911,314.06,85.162,0.0,784.35,300.73,330.3732675
1.8772,316.07,85.88,0.0,784.58,300.239,293.65665333333334
1.2786,316.31,85.851,0.0,784.71,300.155,136.23483
1.2404,315.82,86.016,0.0,784.77,300.087,128.21601333333334
1.1123,310.8,85.949,0.0,784.97,299.845,103.10094083333334
1.3036,312.02,85.862,0.0,784.77,299.843,141.61441333333335
1.2631,308.55,86.084,0.0,784.59,299.725,132.9518008333333
1.7587,330.37,86.0,0.0,784.6,298.964,257.7521408333333
1.7649,335.64,85.753,0.0,784.5,298.876,259.57266749999997
1.1312,335.52,86.025,0.0,784.5,298.84,106.63445333333333
1.533,338.75,84.409,0.0,784.55,298.475,195.84074999999999
1.5376,329.76,84.566,0.0,784.33,298.385,197.01781333333335
1.4244,334.39,84.895,0.0,784.56,299.656,169.07628000000005
1.0878,339.54,86.939,0.0,784.66,298.877,98.60907000000002
1.4288,338.19,86.792,0.0,784.66,298.931,170.1224533333333
1.5078,328.13,86.457,0.0,784.66,298.206,189.45507000000003
1.7364,325.58,86.503,0.0,784.7,298.047,251.25707999999997
2.0599,309.56,86.517,0.0,784.68,297.919,353.5990008333333
2.147,308.15,86.743,0.0,784.65,298.079,384.1340833333332
2.0561,324.3,86.295,0.0,784.59,298.247,352.29560083333325
1.7867,328.58,86.72,0.0,784.69,298.25,266.02474083333334
1.9984,324.97,87.112,0.0,784.7,298.239,332.8002133333333
2.084,326.29,87.117,0.0,784.57,298.276,361.9213333333334
2.3403,323.43,86.598,0.0,784.56,298.03,456.41700750000007
2.3972,323.4,87.168,0.0,784.69,298.104,478.88065333333344
2.1808,319.11,86.941,0.0,784.77,298.511,396.32405333333344
1.1892,311.47,87.086,0.0,785.01,298.625,117.84972
0.6985,299.92,87.474,0.0,785.3,298.475,40.658520833333334
0.7716,293.04,87.683,0.0,785.11,298.743,49.613879999999995
1.0376,297.13,87.481,0.0,784.92,298.625,89.71781333333335
0.9342,296.24,87.421,0.0,784.8,298.477,72.72747
1.243,294.05,87.216,0.0,784.58,299.49,128.75408333333337
0.7574,320.54,87.059,0.0,784.58,299.626,47.804563333333334
1.1373,324.3,86.602,0.0,784.58,299.739,107.78760750000001
1.1556,329.43,86.889,0.0,784.72,299.637,111.28428
1.2666,313.12,87.137,0.0,784.72,300.07,133.68963
1.8236,305.79,87.882,0.0,784.76,300.373,277.12641333333335
1.2154,305.69,91.729,0.0,785.0,299.953,123.09976333333333
1.4139,295.04,91.55,0.0,784.87,300.196,166.59276749999995
1.2207,303.13,91.678,0.0,784.78,299.987,124.17570749999999
1.3695,325.86,91.82,0.0,784.67,300.003,156.2941875
0.9929,321.76,91.691,0.0,784.59,300.006,82.15420083333335
0.7912,310.47,90.798,0.0,784.67,300.031,52.16645333333334
0.5136,303.75,90.386,0.0,784.93,300.029,21.982079999999993
0.1378,303.7,91.253,0.0,785.09,299.945,1.5824033333333334
0.3128,309.38,90.001,0.0,785.17,300.055,8.153653333333335
0.3928,307.4,89.079,0.0,784.97,299.932,12.857653333333335
0.4159,315.82,88.135,0.0,784.99,300.43,14.414400833333332
0.4219,313.86,90.775,0.0,784.41,300.188,14.833300833333334
0.3488,311.58,92.215,0.0,784.57,300.068,10.138453333333333
0.2488,306.39,90.423,0.0,784.69,300.341,5.158453333333332
0.1838,304.74,91.378,0.0,784.69,300.133,2.8152033333333333
0.1941,306.35,90.94,0.0,784.69,299.742,3.1395674999999996
0.5848,308.76,92.174,0.0,784.69,299.662,28.499253333333332
1.4982,308.23,91.343,0.0,785.07,299.683,187.05026999999998
1.5076,311.79,91.886,0.0,785.06,299.587,189.40481333333338
1.6005,309.58,92.248,0.0,785.03,299.344,213.4666875
0.7527,311.68,88.98,0.0,785.03,299.624,47.21310750000001
0.7499,352.47,88.948,0.0,785.03,299.594,46.86250083333334
1.1437,349.55,88.534,0.0,785.03,299.665,109.00414083333332
0.5207,329.43,88.668,0.0,785.0,299.711,22.594040833333338
0.4761,327.89,89.434,0.0,784.6,298.592,18.889267500000003
2.3017,330.73,89.345,0.0,784.65,298.848,441.4852408333333
2.333,328.42,89.677,0.0,784.58,298.793,453.57408333333336
2.1067,329.08,89.305,0.0,784.59,298.999,369.84874083333335
1.9288,322.26,89.399,0.0,785.05,298.359,310.0224533333334
1.7375,316.39,89.548,0.0,785.01,298.472,251.57552083333334
2.3257,314.86,89.309,0.0,785.02,299.273,450.7400408333333
2.3341,303.34,89.238,0.0,785.02,299.218,454.0019008333333
2.6605,310.48,89.175,0.0,785.04,298.905,589.8550208333334
2.4584,309.05,89.562,0.0,784.66,298.969,503.6442133333334
2.2404,317.57,89.394,0.0,785.08,298.714,418.2826800000001
1.8322,313.4,88.62,0.0,785.04,298.479,279.7464033333333
1.8238,318.31,88.515,0.0,784.66,298.458,277.18720333333334
1.2678,320.36,88.761,0.0,784.66,298.009,133.94307000000003
1.7272,311.23,88.865,0.0,784.66,297.713,248.60165333333336
1.1121,314.99,88.328,0.0,784.85,298.306,103.06386750000001
1.0175,313.64,88.854,0.0,785.21,298.502,86.27552083333336
0.768,315.75,89.337,0.0,785.02,297.773,49.15200000000001
0.7567,315.67,89.925,0.0,785.13,297.524,47.71624083333332
0.6674,317.3,89.836,0.0,785.19,297.703,37.118563333333334
0.9492,314.57,89.744,0.0,784.59,298.664,75.08172
0.8666,306.42,88.747,0.0,784.72,298.674,62.582963333333325
1.0628,308.03,89.36,0.0,784.71,299.202,94.12865333333333
1.0542,309.59,89.641,0.0,784.65,298.84,92.61147000000001
0.9186,308.91,90.663,4.39,784.58,299.425,70.31883
1.0066,302.89,89.647,4.22,784.62,299.403,84.43696333333331
1.0018,304.33,87.791,3.88,784.66,299.404,83.63360333333335
1.2166,301.36,88.28,4.24,784.65,299.279,123.34296333333332
1.2153,293.41,87.856,4.49,785.14,299.253,123.0795075
1.1518,290.05,87.877,2.26,784.97,298.671,110.5536033333333
0.978,289.4,87.407,3.65,784.94,298.592,79.70699999999998
1.3316,310.25,87.145,3.29,785.28,299.27,147.7632133333333
1.5843,309.39,86.695,3.06,785.28,298.583,209.16720750000005
1.2179,308.01,86.831,5.3,784.95,298.59,123.60670083333332
1.2143,305.96,86.993,5.39,784.81,298.254,122.87704083333331
1.2344,303.25,86.724,4.98,785.16,298.511,126.97861333333333
0.9542,293.73,82.137,62.43,784.89,299.36,75.87480333333335
1.5431,289.5,83.241,91.73,784.55,299.378,198.42980083333327
1.3862,293.28,83.087,119.4,784.55,299.358,160.12920333333335
1.5563,288.48,78.407,131.53,784.44,299.603,201.83914083333332
0.6487,291.72,77.702,154.13,784.61,299.43,35.067640833333336
0.9934,297.58,78.316,169.54,784.37,299.321,82.23696333333334
1.3666,298.76,78.511,157.98,784.36,299.503,155.63296333333335
1.203,298.91,77.829,144.34,784.35,299.289,120.60075
1.3468,297.22,77.918,24.73,784.36,299.387,151.15585333333334
1.4242,289.52,78.871,5.57,784.36,299.393,169.02880333333331
1.6132,291.24,78.659,8.68,784.37,299.576,216.8678533333333
1.2443,292.18,72.132,17.04,784.37,299.695,129.0235408333333
1.0809,292.64,64.052,128.5,783.95,301.49,97.3620675
0.649,291.53,62.684,98.31,783.35,301.621,35.10008333333334
0.5097,294.98,60.519,162.29,783.53,301.022,21.649507500000002
